epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.858,1.61068,2.02678,1.75197,0.11906,0.07265,0.01575,0.0037,3.32157,6.63637,3.78532,0.000545377,0.000545377,0.000545377
2,399.643,1.79768,2.04126,1.91309,0.00414,0.05985,0.00299,0.0007,nan,nan,nan,0.00109014,0.00109014,0.00109014
3,618.447,1.83001,2.07181,1.92224,0.04969,0.0923,0.02061,0.00695,3.71869,9.75894,4.91693,0.00162391,0.00162391,0.00162391
4,924.478,1.72122,1.9882,1.86598,0.03889,0.20605,0.03391,0.01203,2.74478,51.4919,3.38275,0.00161749,0.00161749,0.00161749
5,1085.83,1.71667,1.95529,1.85137,0.09907,0.19504,0.09884,0.03927,2.82649,11.7084,3.15249,0.00160099,0.00160099,0.00160099
6,1339.72,1.67222,1.86742,1.79145,0.74536,0.26027,0.30451,0.13391,2.152,4.33647,2.34121,0.00158448,0.00158448,0.00158448
7,1554.44,1.65041,1.84054,1.78874,0.32409,0.39011,0.24374,0.08466,2.5056,3.20411,2.56828,0.00156798,0.00156798,0.00156798
8,1753.23,1.58261,1.77119,1.7401,0.83865,0.33147,0.43113,0.23283,2.00152,2.70911,2.15742,0.00155148,0.00155148,0.00155148
9,1947.71,1.53019,1.65029,1.68751,0.51938,0.39507,0.36182,0.16968,2.00861,2.63915,2.21504,0.00153497,0.00153497,0.00153497
10,2157.16,1.55844,1.66278,1.70591,0.49209,0.43783,0.44667,0.21476,2.07121,2.33299,2.12348,0.00151847,0.00151847,0.00151847
11,2377.91,1.48179,1.59672,1.66521,0.84506,0.41791,0.48082,0.25443,2.0197,1.96854,2.15312,0.00150197,0.00150197,0.00150197
12,2560.58,1.48689,1.54415,1.68018,0.86181,0.34861,0.46931,0.21806,1.96811,2.13862,2.17387,0.00148546,0.00148546,0.00148546
13,2679.27,1.4582,1.52224,1.63815,0.47791,0.56694,0.55114,0.31679,1.76171,1.99667,1.9004,0.00146896,0.00146896,0.00146896
14,2911.04,1.4361,1.43877,1.62434,0.45901,0.53359,0.50849,0.25392,1.88485,2.11083,2.03346,0.00145246,0.00145246,0.00145246
15,3028.47,1.41052,1.43541,1.5996,0.66078,0.47464,0.57511,0.33045,1.68641,1.75565,1.80875,0.00143595,0.00143595,0.00143595
16,3214.33,1.39425,1.39921,1.58276,0.80972,0.39671,0.48932,0.27396,1.85086,2.05428,2.01155,0.00141945,0.00141945,0.00141945
17,3346.72,1.39673,1.36385,1.57761,0.50935,0.54571,0.56772,0.34997,1.69022,1.61278,1.78975,0.00140295,0.00140295,0.00140295
18,3500.74,1.37454,1.36117,1.5779,0.65119,0.56119,0.59133,0.32145,1.75217,1.87983,1.92492,0.00138644,0.00138644,0.00138644
19,3639.44,1.35844,1.32392,1.57219,0.56268,0.57852,0.58339,0.32275,1.75872,1.62322,1.89279,0.00136994,0.00136994,0.00136994
20,3796.9,1.35014,1.28367,1.52887,0.5986,0.62673,0.62534,0.32064,1.85284,1.65726,1.91761,0.00135344,0.00135344,0.00135344
21,3927.77,1.32509,1.24652,1.53695,0.52742,0.62052,0.59748,0.345,1.76954,1.51999,1.81008,0.00133693,0.00133693,0.00133693
22,4117.28,1.33708,1.23777,1.53,0.54487,0.67229,0.62841,0.3715,1.65464,1.57376,1.77687,0.00132043,0.00132043,0.00132043
23,4299.81,1.27833,1.21361,1.52056,0.58663,0.59165,0.5861,0.35743,1.65562,1.55744,1.80517,0.00130393,0.00130393,0.00130393
24,4475.94,1.29256,1.23722,1.53663,0.60167,0.56336,0.60033,0.36647,1.67996,1.50781,1.87217,0.00128742,0.00128742,0.00128742
25,4645.36,1.26833,1.19548,1.50707,0.44235,0.55292,0.52289,0.3046,1.7699,1.66307,1.9122,0.00127092,0.00127092,0.00127092
26,4789.36,1.26835,1.1609,1.48942,0.59325,0.64612,0.6353,0.3677,1.67661,1.41485,1.82503,0.00125442,0.00125442,0.00125442
27,4929.84,1.233,1.12938,1.47089,0.54818,0.60771,0.61672,0.36675,1.61162,1.36574,1.76862,0.00123791,0.00123791,0.00123791
28,5039.53,1.20811,1.13207,1.47017,0.68644,0.56246,0.61806,0.40671,1.51882,1.32307,1.64802,0.00122141,0.00122141,0.00122141
29,5150.3,1.22648,1.10023,1.45344,0.64342,0.62557,0.64625,0.40319,1.5795,1.39322,1.75255,0.00120491,0.00120491,0.00120491
30,5329.27,1.22347,1.09214,1.45873,0.67627,0.58478,0.61877,0.40126,1.58753,1.40687,1.76599,0.0011884,0.0011884,0.0011884
31,5498.3,1.18245,1.05623,1.42492,0.64422,0.63398,0.6456,0.40721,1.56771,1.40434,1.71086,0.0011719,0.0011719,0.0011719
32,5638.73,1.20258,1.10062,1.46912,0.61832,0.69829,0.64626,0.41359,1.55862,1.3728,1.70223,0.0011554,0.0011554,0.0011554
33,5849.73,1.18086,1.05184,1.42791,0.66128,0.65623,0.66032,0.41705,1.66945,1.2617,1.83051,0.00113889,0.00113889,0.00113889
34,6031.61,1.18849,1.03802,1.43056,0.67364,0.64005,0.69199,0.43474,1.50601,1.22738,1.64912,0.00112239,0.00112239,0.00112239
35,6169.79,1.14245,1.01102,1.40984,0.64009,0.67409,0.69962,0.4644,1.4999,1.23209,1.63077,0.00110589,0.00110589,0.00110589
36,6379.93,1.12609,0.96863,1.3973,0.75465,0.58986,0.6442,0.41835,1.55882,1.25613,1.67655,0.00108938,0.00108938,0.00108938
37,6544.73,1.12653,0.96622,1.40602,0.61154,0.62768,0.62757,0.39959,1.614,1.3455,1.75362,0.00107288,0.00107288,0.00107288
38,6691.7,1.10032,0.98263,1.38049,0.73261,0.6284,0.68905,0.45524,1.5351,1.20859,1.66841,0.00105638,0.00105638,0.00105638
39,6832.02,1.11832,0.93833,1.397,0.67426,0.64848,0.68597,0.42859,1.5336,1.24423,1.65328,0.00103987,0.00103987,0.00103987
40,7050.66,1.11313,0.93591,1.39478,0.63272,0.67292,0.66796,0.43548,1.48991,1.22879,1.66481,0.00102337,0.00102337,0.00102337
41,7166.71,1.14393,0.9545,1.41763,0.72261,0.62794,0.67249,0.42546,1.58892,1.29019,1.71737,0.00100687,0.00100687,0.00100687
42,7378,1.11282,0.92462,1.37225,0.69421,0.67829,0.69278,0.45984,1.4784,1.0724,1.64708,0.000990365,0.000990365,0.000990365
43,7506.75,1.07375,0.89885,1.36113,0.65013,0.65533,0.65963,0.42107,1.50239,1.24181,1.70045,0.000973861,0.000973861,0.000973861
44,7647.85,1.05955,0.88636,1.33822,0.72624,0.62973,0.66521,0.43232,1.46983,1.19325,1.60748,0.000957358,0.000957358,0.000957358
45,7819.39,1.04342,0.88166,1.35208,0.59635,0.66903,0.66366,0.43897,1.55281,1.24527,1.6915,0.000940855,0.000940855,0.000940855
46,8009.56,1.0447,0.85196,1.33222,0.78961,0.66027,0.72689,0.46965,1.42412,1.02811,1.61317,0.000924352,0.000924352,0.000924352
47,8124.02,1.05069,0.86459,1.33949,0.70995,0.65949,0.69171,0.44805,1.48225,1.14673,1.63294,0.000907848,0.000907848,0.000907848
48,8316.42,1.0206,0.85756,1.32043,0.67203,0.68689,0.68113,0.45276,1.48995,1.14076,1.67579,0.000891345,0.000891345,0.000891345
49,8451.69,1.03036,0.84913,1.31654,0.65225,0.695,0.69216,0.47316,1.42869,1.06751,1.5959,0.000874842,0.000874842,0.000874842
50,8616.51,1.03578,0.85455,1.33175,0.75174,0.64559,0.70163,0.45218,1.44459,1.09585,1.63206,0.000858338,0.000858338,0.000858338
51,8783.89,1.0093,0.82582,1.30949,0.78261,0.69879,0.74226,0.48322,1.44474,1.02375,1.62101,0.000841835,0.000841835,0.000841835
52,9011.75,0.99184,0.82991,1.30197,0.73306,0.66139,0.69669,0.49093,1.29454,1.06544,1.52402,0.000825332,0.000825332,0.000825332
53,9143.12,1.00084,0.82163,1.31525,0.74305,0.75326,0.76248,0.51848,1.26934,0.93751,1.47564,0.000808828,0.000808828,0.000808828
54,9279.65,0.98907,0.79573,1.30066,0.69398,0.66716,0.69583,0.44365,1.44006,1.13365,1.64038,0.000792325,0.000792325,0.000792325
55,9408.78,0.95906,0.78053,1.27136,0.79839,0.65244,0.71658,0.49614,1.35139,1.06192,1.56269,0.000775822,0.000775822,0.000775822
56,9578.2,0.96987,0.77346,1.29281,0.78668,0.65245,0.72745,0.4876,1.3519,1.00744,1.54628,0.000759318,0.000759318,0.000759318
57,9723,0.95512,0.75432,1.263,0.74206,0.71679,0.72991,0.48041,1.433,1.06998,1.61721,0.000742815,0.000742815,0.000742815
58,9917.68,0.95609,0.75563,1.26431,0.66988,0.68509,0.70236,0.49135,1.32006,1.06199,1.5463,0.000726312,0.000726312,0.000726312
59,10047.8,0.91756,0.7349,1.26829,0.7365,0.71486,0.72006,0.49637,1.29891,0.94836,1.51941,0.000709809,0.000709809,0.000709809
60,10242.3,0.92631,0.72601,1.24899,0.73326,0.70376,0.74484,0.48245,1.38062,1.08391,1.5605,0.000693305,0.000693305,0.000693305
61,10391.2,0.93421,0.75802,1.27667,0.76096,0.67498,0.70086,0.48976,1.36568,1.07334,1.60656,0.000676802,0.000676802,0.000676802
62,10533.7,0.90566,0.7284,1.25397,0.6827,0.75326,0.73262,0.50977,1.3204,0.98054,1.52703,0.000660299,0.000660299,0.000660299
63,10649.9,0.89606,0.70519,1.23136,0.70199,0.75236,0.7217,0.49965,1.36519,0.99617,1.55903,0.000643795,0.000643795,0.000643795
64,10830.4,0.90652,0.70166,1.24772,0.74603,0.67825,0.72457,0.50914,1.31065,0.98731,1.53662,0.000627292,0.000627292,0.000627292
65,10941.6,0.89904,0.70193,1.23751,0.70035,0.73543,0.74506,0.53852,1.27992,0.91436,1.53376,0.000610789,0.000610789,0.000610789
66,11094.7,0.89357,0.71301,1.24067,0.83207,0.69425,0.77135,0.52526,1.2641,0.88842,1.50123,0.000594286,0.000594286,0.000594286
67,11197,0.86742,0.68557,1.2192,0.76018,0.72081,0.77294,0.53077,1.28425,0.88521,1.5322,0.000577782,0.000577782,0.000577782
68,11325.4,0.87161,0.68529,1.2229,0.72019,0.71844,0.72621,0.52268,1.28474,0.90924,1.5408,0.000561279,0.000561279,0.000561279
69,11518.2,0.88618,0.68868,1.23926,0.78311,0.67229,0.72849,0.51456,1.28765,0.96791,1.5146,0.000544776,0.000544776,0.000544776
70,11658.4,0.89048,0.66109,1.22538,0.7199,0.66813,0.6921,0.49421,1.30182,0.96556,1.55157,0.000528272,0.000528272,0.000528272
71,11832.9,0.8635,0.66319,1.2107,0.68717,0.72137,0.70679,0.50093,1.25351,0.90079,1.49587,0.000511769,0.000511769,0.000511769
72,11968.6,0.83781,0.65889,1.20589,0.75363,0.64938,0.70636,0.49441,1.3407,1.00386,1.61421,0.000495266,0.000495266,0.000495266
73,12147,0.84228,0.64727,1.19774,0.83898,0.64848,0.73469,0.52449,1.25464,0.91043,1.52009,0.000478762,0.000478762,0.000478762
74,12329.7,0.84468,0.63755,1.19111,0.74519,0.70475,0.74424,0.52812,1.22418,0.91594,1.50027,0.000462259,0.000462259,0.000462259
75,12437.3,0.84142,0.63673,1.19989,0.65613,0.73939,0.73648,0.51929,1.2563,0.90044,1.52164,0.000445756,0.000445756,0.000445756
76,12556.9,0.82197,0.62463,1.19246,0.67432,0.68137,0.70457,0.52094,1.27027,0.94613,1.5574,0.000429253,0.000429253,0.000429253
77,12742.4,0.8143,0.61596,1.18377,0.72845,0.72984,0.74575,0.5153,1.32004,0.93579,1.58911,0.000412749,0.000412749,0.000412749
78,12885,0.81587,0.61527,1.19264,0.66702,0.74821,0.70167,0.51395,1.29584,0.90362,1.55017,0.000396246,0.000396246,0.000396246
79,13024.6,0.81863,0.60308,1.18766,0.74281,0.69111,0.73441,0.53479,1.24341,0.90225,1.51937,0.000379743,0.000379743,0.000379743
80,13153.2,0.80003,0.60058,1.17611,0.70831,0.69969,0.73142,0.5267,1.30493,0.95897,1.58346,0.000363239,0.000363239,0.000363239
81,13286.8,0.80297,0.60316,1.17859,0.76418,0.69194,0.74083,0.5174,1.30766,0.91212,1.5794,0.000346736,0.000346736,0.000346736
82,13481.9,0.77357,0.59469,1.17587,0.73925,0.7107,0.75166,0.54597,1.23766,0.88759,1.48705,0.000330233,0.000330233,0.000330233
83,13615.2,0.77057,0.57828,1.1578,0.72984,0.74136,0.73851,0.52383,1.28842,0.93177,1.537,0.000313729,0.000313729,0.000313729
84,13799.8,0.7634,0.57357,1.15661,0.7195,0.75076,0.77388,0.55198,1.18617,0.87284,1.43338,0.000297226,0.000297226,0.000297226
85,13932.9,0.76618,0.58224,1.15164,0.74798,0.71991,0.77638,0.54096,1.27676,0.88477,1.52814,0.000280723,0.000280723,0.000280723
86,14133.2,0.7795,0.60022,1.16827,0.76745,0.75742,0.78895,0.55752,1.23923,0.86452,1.49835,0.00026422,0.00026422,0.00026422
87,14305.8,0.74172,0.55783,1.15494,0.7875,0.71575,0.76851,0.53942,1.22528,0.90862,1.48703,0.000247716,0.000247716,0.000247716
88,14501.9,0.74166,0.56101,1.14218,0.82256,0.72926,0.78688,0.56852,1.17282,0.84431,1.44354,0.000231213,0.000231213,0.000231213
